Teilnehmer	AufgabeItem	Antwort	gesamt	morph_overlap
2691	50.2	öffentlichen Dienst	1	3.0
2534	50.2	öffentlichen Dienst	1	3.0
2706	50.2	öffentlichen Dienst	1	3.0
2697	50.2	öffentlichen Dienst	1	3.0
2692	50.2	öffentlichen Dienst	1	3.0
2458	50.2	öffentlichen Dienst	1	3.0
2659	50.2	öffentlichen Dienst	1	3.0
2658	50.2	öffentlichen Dienst	1	3.0
2379	50.2	öffentlichen Dienst	1	3.0
2652	50.2	öffentlichen Dienst	1	3.0
2649	50.2	öffentlichen Dienst	1	3.0
2543	50.2	öffentlichen Dienst	1	3.0
2385	50.2	öffentlichen Dienst	1	3.0
2536	50.2	öffentlichen Dienst	1	3.0
2523	50.2	öffentlichen Dienst	1	3.0
2331	50.2	öffentlichen Dienst	1	3.0
2516	50.2	öffentlichen Dienst	1	3.0
2291	50.2	öffentlichen Dienst	1	3.0
2435	50.2	öffentlichen Dienst	1	3.0
2437	50.2	öffentlichen Dienst	1	3.0
2488	50.2	öffentlichen Dienst	1	3.0
2442	50.2	öffentlichen Dienst	1	3.0
2482	50.2	öffentlichen Dienst	1	3.0
2445	50.2	öffentlichen Dienst	1	3.0
2464	50.2	öffentlichen Dienst	1	3.0
2449	50.2	öffentlichen Dienst	1	3.0
2452	50.2	öffentlichen Dienst	1	3.0
2461	50.2	öffentlichen Dienst	1	3.0
2354	50.2	öffentlichen Dienst	1	3.0
2456	50.2	öffentlichen Dienst	1	3.0
2730	50.2	öffentlichen Dienst	1	3.0
2300	50.2	öffentlichen Dienst	1	3.0
2745	50.2	öffentlichen Dienst	1	3.0
2749	50.2	öffentlichen Dienst	1	3.0
2329	50.2	öffentlichen Dienst	1	3.0
2317	50.2	öffentlichen Dienst	1	3.0
2297	50.2	öffentlichen Dienst	1	3.0
2326	50.2	öffentlichen Dienst	1	3.0
2729	50.2	öffentlichen Dienst	1	3.0
2733	50.2	öffentlichen Dienst	1	3.0
